"2016
rank","City","State[5]","2016
estimate","2010
Census","Change","2014 land area","2014 land area","2010 population density","2010 population density","Location"
85,"Scottsdale","Arizona","246,645","217,385","7001134599903397199<U+2660>+13.46%","183.9 sq mi","476.3 km2","1,182/sq mi","456/km2","33°40'07<U+2033>N 111°49'25<U+2033>W<U+FEFF> / <U+FEFF>33.6687°N 111.8237°W<U+FEFF> / 33.6687; -111.8237<U+FEFF> (Scottsdale)"
86,"Glendale","Arizona","245,895","226,721","7000845709043273450<U+2660>+8.46%","60.0 sq mi","155.4 km2","3,780/sq mi","1,460/km2","33°31'59<U+2033>N 112°11'24<U+2033>W<U+FEFF> / <U+FEFF>33.5331°N 112.1899°W<U+FEFF> / 33.5331; -112.1899<U+FEFF> (Glendale)"
87,"Reno","Nevada","245,255","225,221","7000889526287513150<U+2660>+8.90%","103.0 sq mi","266.8 km2","2,186/sq mi","844/km2","39°28'28<U+2033>N 119°46'35<U+2033>W<U+FEFF> / <U+FEFF>39.4745°N 119.7765°W<U+FEFF> / 39.4745; -119.7765<U+FEFF> (Reno)"
88,"Norfolk[16]","Virginia","245,115","242,803","6999952212287327580<U+2660>+0.95%","54.1 sq mi","140.1 km2","4,486/sq mi","1,732/km2","36°55'23<U+2033>N 76°14'41<U+2033>W<U+FEFF> / <U+FEFF>36.9230°N 76.2446°W<U+FEFF> / 36.9230; -76.2446<U+FEFF> (Norfolk)"
89,"Winston–Salem","North Carolina","242,203","229,617","7000548130147158090<U+2660>+5.48%","132.4 sq mi","342.9 km2","1,734/sq mi","670/km2","36°06'12<U+2033>N 80°15'38<U+2033>W<U+FEFF> / <U+FEFF>36.1033°N 80.2606°W<U+FEFF> / 36.1033; -80.2606<U+FEFF> (Winston-Salem)"
90,"North Las Vegas","Nevada","238,702","216,961","7001100206949636110<U+2660>+10.02%","101.3 sq mi","262.4 km2","2,141/sq mi","827/km2","36°16'59<U+2033>N 115°05'21<U+2033>W<U+FEFF> / <U+FEFF>36.2830°N 115.0893°W<U+FEFF> / 36.2830; -115.0893<U+FEFF> (North Las Vegas)"
91,"Irving","Texas","238,289","216,290","7001101710666235150<U+2660>+10.17%","67.0 sq mi","173.5 km2","3,227/sq mi","1,246/km2","32°51'28<U+2033>N 96°58'12<U+2033>W<U+FEFF> / <U+FEFF>32.8577°N 96.9700°W<U+FEFF> / 32.8577; -96.9700<U+FEFF> (Irving)"
92,"Chesapeake[16]","Virginia","237,940","222,209","7000707937122258770<U+2660>+7.08%","340.8 sq mi","882.7 km2","652/sq mi","252/km2","36°40'46<U+2033>N 76°18'06<U+2033>W<U+FEFF> / <U+FEFF>36.6794°N 76.3018°W<U+FEFF> / 36.6794; -76.3018<U+FEFF> (Chesapeake)"
93,"Gilbert[20]","Arizona","237,133","208,453","7001137584971192550<U+2660>+13.76%","68.0 sq mi","176.1 km2","3,067/sq mi","1,184/km2","33°18'37<U+2033>N 111°44'32<U+2033>W<U+FEFF> / <U+FEFF>33.3102°N 111.7422°W<U+FEFF> / 33.3102; -111.7422<U+FEFF> (Gilbert)"
94,"Hialeah","Florida","236,387","224,669","7000521567283425840<U+2660>+5.22%","21.5 sq mi","55.7 km2","10,474/sq mi","4,044/km2","25°52'12<U+2033>N 80°18'10<U+2033>W<U+FEFF> / <U+FEFF>25.8699°N 80.3029°W<U+FEFF> / 25.8699; -80.3029<U+FEFF> (Hialeah)"
95,"Garland","Texas","234,943","226,876","7000355568680689010<U+2660>+3.56%","57.1 sq mi","147.9 km2","3,974/sq mi","1,534/km2","32°54'35<U+2033>N 96°37'49<U+2033>W<U+FEFF> / <U+FEFF>32.9098°N 96.6304°W<U+FEFF> / 32.9098; -96.6304<U+FEFF> (Garland)"
96,"Fremont","California","233,136","214,089","7000889676723231930<U+2660>+8.90%","77.5 sq mi","200.7 km2","2,764/sq mi","1,067/km2","37°29'40<U+2033>N 121°56'28<U+2033>W<U+FEFF> / <U+FEFF>37.4944°N 121.9411°W<U+FEFF> / 37.4944; -121.9411<U+FEFF> (Fremont)"
97,"Baton Rouge[21]","Louisiana","227,715","229,493","3000225248700396100<U+2660>-0.77%","76.9 sq mi","199.2 km2","2,982/sq mi","1,151/km2","30°26'55<U+2033>N 91°07'33<U+2033>W<U+FEFF> / <U+FEFF>30.4485°N 91.1259°W<U+FEFF> / 30.4485; -91.1259<U+FEFF> (Baton Rouge)"
98,"Richmond[16]","Virginia","223,170","204,214","7000928241942276240<U+2660>+9.28%","59.8 sq mi","154.9 km2","3,415/sq mi","1,319/km2","37°31'53<U+2033>N 77°28'34<U+2033>W<U+FEFF> / <U+FEFF>37.5314°N 77.4760°W<U+FEFF> / 37.5314; -77.4760<U+FEFF> (Richmond)"
99,"Boise[22]","Idaho","223,154","205,671","7000850046919594890<U+2660>+8.50%","79.4 sq mi","205.6 km2","2,592/sq mi","1,001/km2","43°35'55<U+2033>N 116°13'52<U+2033>W<U+FEFF> / <U+FEFF>43.5985°N 116.2311°W<U+FEFF> / 43.5985; -116.2311<U+FEFF> (Boise)"
100,"San Bernardino","California","216,239","209,924","7000300823155046590<U+2660>+3.01%","59.2 sq mi","153.3 km2","3,546/sq mi","1,369/km2","34°08'21<U+2033>N 117°17'43<U+2033>W<U+FEFF> / <U+FEFF>34.1393°N 117.2953°W<U+FEFF> / 34.1393; -117.2953<U+FEFF> (San Bernardino)"
101,"Spokane","Washington","215,973","208,916","7000337791265388960<U+2660>+3.38%","59.2 sq mi","153.3 km2","3,526/sq mi","1,361/km2","47°40'25<U+2033>N 117°25'00<U+2033>W<U+FEFF> / <U+FEFF>47.6736°N 117.4166°W<U+FEFF> / 47.6736; -117.4166<U+FEFF> (Spokane)"
102,"Des Moines","Iowa","215,472","203,433","7000591791892170890<U+2660>+5.92%","80.9 sq mi","209.5 km2","2,516/sq mi","971/km2","41°34'26<U+2033>N 93°37'00<U+2033>W<U+FEFF> / <U+FEFF>41.5739°N 93.6167°W<U+FEFF> / 41.5739; -93.6167<U+FEFF> (Des Moines)"
103,"Modesto","California","212,175","201,165","7000547311908135110<U+2660>+5.47%","36.9 sq mi","95.6 km2","5,456/sq mi","2,107/km2","37°39'39<U+2033>N 120°59'21<U+2033>W<U+FEFF> / <U+FEFF>37.6609°N 120.9891°W<U+FEFF> / 37.6609; -120.9891<U+FEFF> (Modesto)"
104,"Birmingham","Alabama","212,157","212,237","3001623062896667360<U+2660>-0.04%","146.1 sq mi","378.4 km2","1,453/sq mi","561/km2","33°31'39<U+2033>N 86°47'56<U+2033>W<U+FEFF> / <U+FEFF>33.5274°N 86.7990°W<U+FEFF> / 33.5274; -86.7990<U+FEFF> (Birmingham)"
105,"Tacoma","Washington","211,277","198,397","7000649203364970240<U+2660>+6.49%","49.7 sq mi","128.7 km2","3,990/sq mi","1,540/km2","47°15'08<U+2033>N 122°27'35<U+2033>W<U+FEFF> / <U+FEFF>47.2522°N 122.4598°W<U+FEFF> / 47.2522; -122.4598<U+FEFF> (Tacoma)"
106,"Fontana","California","209,665","196,069","7000693429353951920<U+2660>+6.93%","42.4 sq mi","109.8 km2","4,621/sq mi","1,784/km2","34°06'32<U+2033>N 117°27'46<U+2033>W<U+FEFF> / <U+FEFF>34.1088°N 117.4627°W<U+FEFF> / 34.1088; -117.4627<U+FEFF> (Fontana)"
107,"Rochester","New York","208,880","210,565","3000199772041887300<U+2660>-0.80%","35.8 sq mi","92.7 km2","5,885/sq mi","2,272/km2","43°10'12<U+2033>N 77°37'01<U+2033>W<U+FEFF> / <U+FEFF>43.1699°N 77.6169°W<U+FEFF> / 43.1699; -77.6169<U+FEFF> (Rochester)"
108,"Oxnard","California","207,906","197,899","7000505661979090340<U+2660>+5.06%","26.9 sq mi","69.7 km2","7,358/sq mi","2,841/km2","34°12'08<U+2033>N 119°12'17<U+2033>W<U+FEFF> / <U+FEFF>34.2023°N 119.2046°W<U+FEFF> / 34.2023; -119.2046<U+FEFF> (Oxnard)"
109,"Moreno Valley","California","205,499","193,365","7000627517906549790<U+2660>+6.28%","51.3 sq mi","132.9 km2","3,771/sq mi","1,456/km2","33°55'24<U+2033>N 117°12'21<U+2033>W<U+FEFF> / <U+FEFF>33.9233°N 117.2057°W<U+FEFF> / 33.9233; -117.2057<U+FEFF> (Moreno Valley)"
110,"Fayetteville","North Carolina","204,759","200,564","7000209160168325320<U+2660>+2.09%","145.8 sq mi","377.6 km2","1,375/sq mi","531/km2","35°05'06<U+2033>N 78°58'49<U+2033>W<U+FEFF> / <U+FEFF>35.0851°N 78.9803°W<U+FEFF> / 35.0851; -78.9803<U+FEFF> (Fayetteville)"
111,"Aurora","Illinois","201,110","197,899","7000162254483347570<U+2660>+1.62%","44.9 sq mi","116.3 km2","4,404/sq mi","1,700/km2","41°45'49<U+2033>N 88°17'24<U+2033>W<U+FEFF> / <U+FEFF>41.7635°N 88.2901°W<U+FEFF> / 41.7635; -88.2901<U+FEFF> (Aurora)"
112,"Glendale","California","200,831","191,719","7000475278923841660<U+2660>+4.75%","30.5 sq mi","79.0 km2","6,295/sq mi","2,431/km2","34°10'53<U+2033>N 118°14'45<U+2033>W<U+FEFF> / <U+FEFF>34.1814°N 118.2458°W<U+FEFF> / 34.1814; -118.2458<U+FEFF> (Glendale)"
113,"Yonkers","New York","200,807","195,976","7000246509776707350<U+2660>+2.47%","18.0 sq mi","46.6 km2","10,880/sq mi","4,200/km2","40°56'45<U+2033>N 73°52'03<U+2033>W<U+FEFF> / <U+FEFF>40.9459°N 73.8674°W<U+FEFF> / 40.9459; -73.8674<U+FEFF> (Yonkers)"
114,"Huntington Beach","California","200,652","189,992","7000561076255842350<U+2660>+5.61%","26.7 sq mi","69.2 km2","7,103/sq mi","2,742/km2","33°41'26<U+2033>N 118°00'33<U+2033>W<U+FEFF> / <U+FEFF>33.6906°N 118.0093°W<U+FEFF> / 33.6906; -118.0093<U+FEFF> (Huntington Beach)"
115,"Montgomery","Alabama","200,022","205,764","2999720942438910600<U+2660>-2.79%","159.6 sq mi","413.4 km2","1,290/sq mi","500/km2","32°20'47<U+2033>N 86°16'07<U+2033>W<U+FEFF> / <U+FEFF>32.3463°N 86.2686°W<U+FEFF> / 32.3463; -86.2686<U+FEFF> (Montgomery)"
116,"Amarillo","Texas","199,582","190,695","7000466032145572770<U+2660>+4.66%","99.5 sq mi","257.7 km2","1,917/sq mi","740/km2","35°11'52<U+2033>N 101°49'43<U+2033>W<U+FEFF> / <U+FEFF>35.1978°N 101.8287°W<U+FEFF> / 35.1978; -101.8287<U+FEFF> (Amarillo)"
117,"Little Rock","Arkansas","198,541","193,524","7000259244331452430<U+2660>+2.59%","119.2 sq mi","308.7 km2","1,624/sq mi","627/km2","34°43'31<U+2033>N 92°21'31<U+2033>W<U+FEFF> / <U+FEFF>34.7254°N 92.3586°W<U+FEFF> / 34.7254; -92.3586<U+FEFF> (Little Rock)"
118,"Akron","Ohio","197,633","199,110","3000258198985485409<U+2660>-0.74%","62.0 sq mi","160.6 km2","3,210/sq mi","1,240/km2","41°04'50<U+2033>N 81°31'17<U+2033>W<U+FEFF> / <U+FEFF>41.0805°N 81.5214°W<U+FEFF> / 41.0805; -81.5214<U+FEFF> (Akron)"
119,"Columbus[23]","Georgia","197,485","189,885","7000400242251889300<U+2660>+4.00%","216.4 sq mi","560.5 km2","878/sq mi","339/km2","32°30'37<U+2033>N 84°52'30<U+2033>W<U+FEFF> / <U+FEFF>32.5102°N 84.8749°W<U+FEFF> / 32.5102; -84.8749<U+FEFF> (Columbus)"
120,"Augusta[24]","Georgia","197,081","195,844","6999631625171054510<U+2660>+0.63%","302.5 sq mi","783.5 km2","647/sq mi","250/km2","33°21'56<U+2033>N 82°04'24<U+2033>W<U+FEFF> / <U+FEFF>33.3655°N 82.0734°W<U+FEFF> / 33.3655; -82.0734<U+FEFF> (Augusta)"
121,"Grand Rapids","Michigan","196,445","188,040","7000446979366092320<U+2660>+4.47%","44.4 sq mi","115.0 km2","4,236/sq mi","1,636/km2","42°57'40<U+2033>N 85°39'20<U+2033>W<U+FEFF> / <U+FEFF>42.9612°N 85.6556°W<U+FEFF> / 42.9612; -85.6556<U+FEFF> (Grand Rapids)"
122,"Shreveport","Louisiana","194,920","199,311","2999779691035617700<U+2660>-2.20%","105.4 sq mi","273.0 km2","1,891/sq mi","730/km2","32°28'01<U+2033>N 93°47'34<U+2033>W<U+FEFF> / <U+FEFF>32.4670°N 93.7927°W<U+FEFF> / 32.4670; -93.7927<U+FEFF> (Shreveport)"
123,"Salt Lake City","Utah","193,744","186,440","7000391761424587000<U+2660>+3.92%","111.1 sq mi","287.7 km2","1,678/sq mi","648/km2","40°46'43<U+2033>N 111°55'53<U+2033>W<U+FEFF> / <U+FEFF>40.7785°N 111.9314°W<U+FEFF> / 40.7785; -111.9314<U+FEFF> (Salt Lake City)"
124,"Huntsville","Alabama","193,079","180,105","7000720357569195750<U+2660>+7.20%","209.1 sq mi","541.6 km2","862/sq mi","333/km2","34°47'03<U+2033>N 86°32'20<U+2033>W<U+FEFF> / <U+FEFF>34.7843°N 86.5390°W<U+FEFF> / 34.7843; -86.5390<U+FEFF> (Huntsville)"
125,"Mobile","Alabama","192,904","195,111","2999886884901415090<U+2660>-1.13%","139.1 sq mi","360.3 km2","1,403/sq mi","542/km2","30°40'06<U+2033>N 88°06'01<U+2033>W<U+FEFF> / <U+FEFF>30.6684°N 88.1002°W<U+FEFF> / 30.6684; -88.1002<U+FEFF> (Mobile)"
126,"Tallahassee","Florida","190,894","181,376","7000524766231474950<U+2660>+5.25%","100.2 sq mi","259.5 km2","1,809/sq mi","698/km2","30°27'18<U+2033>N 84°15'12<U+2033>W<U+FEFF> / <U+FEFF>30.4551°N 84.2534°W<U+FEFF> / 30.4551; -84.2534<U+FEFF> (Tallahassee)"
127,"Grand Prairie","Texas","190,682","175,396","7000871513603502930<U+2660>+8.72%","72.1 sq mi","186.7 km2","2,433/sq mi","939/km2","32°41'03<U+2033>N 97°01'16<U+2033>W<U+FEFF> / <U+FEFF>32.6842°N 97.0210°W<U+FEFF> / 32.6842; -97.0210<U+FEFF> (Grand Prairie)"
128,"Overland Park","Kansas","188,966","173,372","7000899453198901780<U+2660>+8.99%","74.8 sq mi","193.7 km2","2,317/sq mi","895/km2","38°53'20<U+2033>N 94°41'26<U+2033>W<U+FEFF> / <U+FEFF>38.8890°N 94.6906°W<U+FEFF> / 38.8890; -94.6906<U+FEFF> (Overland Park)"
129,"Knoxville","Tennessee","186,239","178,874","7000411742343772710<U+2660>+4.12%","98.5 sq mi","255.1 km2","1,816/sq mi","701/km2","35°58'15<U+2033>N 83°56'47<U+2033>W<U+FEFF> / <U+FEFF>35.9709°N 83.9465°W<U+FEFF> / 35.9709; -83.9465<U+FEFF> (Knoxville)"
130,"Port St. Lucie","Florida","185,132","164,603","7001124718261514070<U+2660>+12.47%","114.0 sq mi","295.3 km2","1,444/sq mi","558/km2","27°16'52<U+2033>N 80°23'02<U+2033>W<U+FEFF> / <U+FEFF>27.2810°N 80.3838°W<U+FEFF> / 27.2810; -80.3838<U+FEFF> (Port St. Lucie)"
131,"Worcester","Massachusetts","184,508","181,045","7000191278411444670<U+2660>+1.91%","37.4 sq mi","96.9 km2","4,845/sq mi","1,871/km2","42°16'10<U+2033>N 71°48'28<U+2033>W<U+FEFF> / <U+FEFF>42.2695°N 71.8078°W<U+FEFF> / 42.2695; -71.8078<U+FEFF> (Worcester)"
132,"Brownsville","Texas","183,823","175,023","7000502791061746170<U+2660>+5.03%","132.3 sq mi","342.7 km2","1,323/sq mi","511/km2","26°01'06<U+2033>N 97°27'14<U+2033>W<U+FEFF> / <U+FEFF>26.0183°N 97.4538°W<U+FEFF> / 26.0183; -97.4538<U+FEFF> (Brownsville)"
133,"Tempe","Arizona","182,498","161,719","7001128488303786200<U+2660>+12.85%","39.9 sq mi","103.3 km2","4,050/sq mi","1,560/km2","33°23'18<U+2033>N 111°55'54<U+2033>W<U+FEFF> / <U+FEFF>33.3884°N 111.9318°W<U+FEFF> / 33.3884; -111.9318<U+FEFF> (Tempe)"
134,"Santa Clarita","California","181,972","176,320","7000320553539019960<U+2660>+3.21%","52.7 sq mi","136.5 km2","3,345/sq mi","1,292/km2","34°24'18<U+2033>N 118°30'17<U+2033>W<U+FEFF> / <U+FEFF>34.4049°N 118.5047°W<U+FEFF> / 34.4049; -118.5047<U+FEFF> (Santa Clarita)"
135,"Newport News[16]","Virginia","181,825","180,719","6999611999845063330<U+2660>+0.61%","68.7 sq mi","177.9 km2","2,630/sq mi","1,020/km2","37°04'34<U+2033>N 76°31'18<U+2033>W<U+FEFF> / <U+FEFF>37.0760°N 76.5217°W<U+FEFF> / 37.0760; -76.5217<U+FEFF> (Newport News)"
136,"Cape Coral","Florida","179,804","154,305","7001165250639966300<U+2660>+16.53%","105.7 sq mi","273.8 km2","1,460/sq mi","560/km2","26°38'35<U+2033>N 81°59'50<U+2033>W<U+FEFF> / <U+FEFF>26.6431°N 81.9973°W<U+FEFF> / 26.6431; -81.9973<U+FEFF> (Cape Coral)"
137,"Providence","Rhode Island","179,219","178,042","6999661079969894750<U+2660>+0.66%","18.4 sq mi","47.7 km2","9,676/sq mi","3,736/km2","41°49'23<U+2033>N 71°25'08<U+2033>W<U+FEFF> / <U+FEFF>41.8231°N 71.4188°W<U+FEFF> / 41.8231; -71.4188<U+FEFF> (Providence)"
138,"Fort Lauderdale","Florida","178,752","165,521","7000799354764652220<U+2660>+7.99%","34.8 sq mi","90.1 km2","4,761/sq mi","1,838/km2","26°08'29<U+2033>N 80°08'38<U+2033>W<U+FEFF> / <U+FEFF>26.1413°N 80.1439°W<U+FEFF> / 26.1413; -80.1439<U+FEFF> (Fort Lauderdale)"
139,"Chattanooga","Tennessee","177,571","167,674","7000590252513806550<U+2660>+5.90%","137.2 sq mi","355.3 km2","1,223/sq mi","472/km2","35°03'59<U+2033>N 85°14'50<U+2033>W<U+FEFF> / <U+FEFF>35.0665°N 85.2471°W<U+FEFF> / 35.0665; -85.2471<U+FEFF> (Chattanooga)"
140,"Rancho Cucamonga","California","176,534","165,269","7000681616032044730<U+2660>+6.82%","39.9 sq mi","103.3 km2","4,147/sq mi","1,601/km2","34°07'24<U+2033>N 117°33'51<U+2033>W<U+FEFF> / <U+FEFF>34.1233°N 117.5642°W<U+FEFF> / 34.1233; -117.5642<U+FEFF> (Rancho Cucamonga)"
141,"Oceanside","California","175,464","167,086","7000501418431227029<U+2660>+5.01%","41.2 sq mi","106.7 km2","4,052/sq mi","1,564/km2","33°13'29<U+2033>N 117°18'22<U+2033>W<U+FEFF> / <U+FEFF>33.2246°N 117.3062°W<U+FEFF> / 33.2246; -117.3062<U+FEFF> (Oceanside)"
142,"Santa Rosa","California","175,155","167,815","7000437386407651280<U+2660>+4.37%","41.3 sq mi","107.0 km2","4,064/sq mi","1,569/km2","38°26'48<U+2033>N 122°42'22<U+2033>W<U+FEFF> / <U+FEFF>38.4468°N 122.7061°W<U+FEFF> / 38.4468; -122.7061<U+FEFF> (Santa Rosa)"
143,"Garden Grove","California","174,858","170,883","7000232615298186480<U+2660>+2.33%","17.9 sq mi","46.4 km2","9,525/sq mi","3,678/km2","33°46'44<U+2033>N 117°57'38<U+2033>W<U+FEFF> / <U+FEFF>33.7788°N 117.9605°W<U+FEFF> / 33.7788; -117.9605<U+FEFF> (Garden Grove)"
144,"Vancouver","Washington","174,826","161,791","7000805669042159330<U+2660>+8.06%","46.5 sq mi","120.4 km2","3,483/sq mi","1,345/km2","45°38'14<U+2033>N 122°35'47<U+2033>W<U+FEFF> / <U+FEFF>45.6372°N 122.5965°W<U+FEFF> / 45.6372; -122.5965<U+FEFF> (Vancouver)"
145,"Sioux Falls","South Dakota","174,360","153,888","7001133031815346230<U+2660>+13.30%","73.0 sq mi","189.1 km2","2,109/sq mi","814/km2","43°32'18<U+2033>N 96°43'55<U+2033>W<U+FEFF> / <U+FEFF>43.5383°N 96.7320°W<U+FEFF> / 43.5383; -96.7320<U+FEFF> (Sioux Falls)"
146,"Ontario","California","173,212","163,924","7000566604036016690<U+2660>+5.67%","49.9 sq mi","129.2 km2","3,282/sq mi","1,267/km2","34°02'22<U+2033>N 117°36'32<U+2033>W<U+FEFF> / <U+FEFF>34.0395°N 117.6088°W<U+FEFF> / 34.0395; -117.6088<U+FEFF> (Ontario)"
147,"McKinney","Texas","172,298","131,117","7001314078265976190<U+2660>+31.41%","62.2 sq mi","161.1 km2","2,108/sq mi","814/km2","33°12'04<U+2033>N 96°40'05<U+2033>W<U+FEFF> / <U+FEFF>33.2012°N 96.6680°W<U+FEFF> / 33.2012; -96.6680<U+FEFF> (McKinney)"
148,"Elk Grove","California","169,743","153,015","7001109322615429860<U+2660>+10.93%","42.2 sq mi","109.3 km2","3,627/sq mi","1,400/km2","38°24'52<U+2033>N 121°23'06<U+2033>W<U+FEFF> / <U+FEFF>38.4144°N 121.3849°W<U+FEFF> / 38.4144; -121.3849<U+FEFF> (Elk Grove)"
149,"Jackson","Mississippi","169,148","173,514","2999748377652523720<U+2660>-2.52%","111.0 sq mi","287.5 km2","1,563/sq mi","603/km2","32°18'57<U+2033>N 90°12'46<U+2033>W<U+FEFF> / <U+FEFF>32.3158°N 90.2128°W<U+FEFF> / 32.3158; -90.2128<U+FEFF> (Jackson)"
150,"Pembroke Pines","Florida","168,587","154,019","7000945857329290540<U+2660>+9.46%","33.1 sq mi","85.7 km2","4,672/sq mi","1,804/km2","26°01'16<U+2033>N 80°20'25<U+2033>W<U+FEFF> / <U+FEFF>26.0212°N 80.3404°W<U+FEFF> / 26.0212; -80.3404<U+FEFF> (Pembroke Pines)"
151,"Salem","Oregon","167,419","154,637","7000826580960572180<U+2660>+8.27%","47.9 sq mi","124.1 km2","3,229/sq mi","1,247/km2","44°55'25<U+2033>N 123°01'23<U+2033>W<U+FEFF> / <U+FEFF>44.9237°N 123.0231°W<U+FEFF> / 44.9237; -123.0231<U+FEFF> (Salem)"
152,"Springfield","Missouri","167,319","159,498","7000490350976187790<U+2660>+4.90%","81.7 sq mi","211.6 km2","1,952/sq mi","754/km2","37°11'39<U+2033>N 93°17'29<U+2033>W<U+FEFF> / <U+FEFF>37.1942°N 93.2913°W<U+FEFF> / 37.1942; -93.2913<U+FEFF> (Springfield)"
153,"Corona","California","166,785","152,374","7000945765025529290<U+2660>+9.46%","38.8 sq mi","100.5 km2","3,925/sq mi","1,515/km2","33°51'45<U+2033>N 117°33'50<U+2033>W<U+FEFF> / <U+FEFF>33.8624°N 117.5639°W<U+FEFF> / 33.8624; -117.5639<U+FEFF> (Corona)"
154,"Eugene","Oregon","166,575","156,185","7000665236738483210<U+2660>+6.65%","43.7 sq mi","113.2 km2","3,572/sq mi","1,379/km2","44°03'24<U+2033>N 123°06'58<U+2033>W<U+FEFF> / <U+FEFF>44.0567°N 123.1162°W<U+FEFF> / 44.0567; -123.1162<U+FEFF> (Eugene)"
155,"Fort Collins","Colorado","164,207","143,986","7001140437264734070<U+2660>+14.04%","54.3 sq mi","140.6 km2","2,653/sq mi","1,024/km2","40°32'54<U+2033>N 105°03'53<U+2033>W<U+FEFF> / <U+FEFF>40.5482°N 105.0648°W<U+FEFF> / 40.5482; -105.0648<U+FEFF> (Fort Collins)"
156,"Peoria","Arizona","164,173","154,065","7000656086716645570<U+2660>+6.56%","174.4 sq mi","451.7 km2","883/sq mi","341/km2","33°47'16<U+2033>N 112°18'40<U+2033>W<U+FEFF> / <U+FEFF>33.7877°N 112.3111°W<U+FEFF> / 33.7877; -112.3111<U+FEFF> (Peoria)"
157,"Frisco","Texas","163,656","116,989","7001398900751352690<U+2660>+39.89%","61.8 sq mi","160.1 km2","1,893/sq mi","731/km2","33°09'04<U+2033>N 96°49'09<U+2033>W<U+FEFF> / <U+FEFF>33.1510°N 96.8193°W<U+FEFF> / 33.1510; -96.8193<U+FEFF> (Frisco)"
158,"Cary[25]","North Carolina","162,320","135,234","7001200289867932620<U+2660>+20.03%","54.3 sq mi","140.6 km2","2,488/sq mi","961/km2","35°46'56<U+2033>N 78°48'51<U+2033>W<U+FEFF> / <U+FEFF>35.7821°N 78.8141°W<U+FEFF> / 35.7821; -78.8141<U+FEFF> (Cary)"
159,"Lancaster","California","160,106","156,633","7000221728499103000<U+2660>+2.22%","94.3 sq mi","244.2 km2","1,661/sq mi","641/km2","34°41'37<U+2033>N 118°10'31<U+2033>W<U+FEFF> / <U+FEFF>34.6936°N 118.1753°W<U+FEFF> / 34.6936; -118.1753<U+FEFF> (Lancaster)"
160,"Hayward","California","158,937","144,186","7001102305355582370<U+2660>+10.23%","45.3 sq mi","117.3 km2","3,181/sq mi","1,228/km2","37°37'41<U+2033>N 122°06'23<U+2033>W<U+FEFF> / <U+FEFF>37.6281°N 122.1063°W<U+FEFF> / 37.6281; -122.1063<U+FEFF> (Hayward)"
161,"Palmdale","California","157,356","152,750","7000301538461538460<U+2660>+3.02%","106.0 sq mi","274.5 km2","1,442/sq mi","557/km2","34°35'29<U+2033>N 118°06'32<U+2033>W<U+FEFF> / <U+FEFF>34.5913°N 118.1090°W<U+FEFF> / 34.5913; -118.1090<U+FEFF> (Palmdale)"
162,"Salinas","California","157,218","150,441","7000450475601730910<U+2660>+4.50%","23.2 sq mi","60.1 km2","6,490/sq mi","2,510/km2","36°41'25<U+2033>N 121°38'01<U+2033>W<U+FEFF> / <U+FEFF>36.6902°N 121.6337°W<U+FEFF> / 36.6902; -121.6337<U+FEFF> (Salinas)"
163,"Alexandria[16]","Virginia","155,810","139,966","7001113198919737650<U+2660>+11.32%","15.0 sq mi","38.8 km2","9,314/sq mi","3,596/km2","38°49'06<U+2033>N 77°04'55<U+2033>W<U+FEFF> / <U+FEFF>38.8183°N 77.0820°W<U+FEFF> / 38.8183; -77.0820<U+FEFF> (Alexandria)"
164,"Lakewood","Colorado","154,393","142,980","7000798223527766120<U+2660>+7.98%","42.9 sq mi","111.1 km2","3,334/sq mi","1,287/km2","39°41'56<U+2033>N 105°07'03<U+2033>W<U+FEFF> / <U+FEFF>39.6989°N 105.1176°W<U+FEFF> / 39.6989; -105.1176<U+FEFF> (Lakewood)"
165,"Springfield","Massachusetts","154,074","153,060","6999662485299882400<U+2660>+0.66%","31.9 sq mi","82.6 km2","4,803/sq mi","1,854/km2","42°06'56<U+2033>N 72°32'24<U+2033>W<U+FEFF> / <U+FEFF>42.1155°N 72.5400°W<U+FEFF> / 42.1155; -72.5400<U+FEFF> (Springfield)"
166,"Pasadena","Texas","153,351","149,043","7000289044101366720<U+2660>+2.89%","42.8 sq mi","110.9 km2","3,485/sq mi","1,346/km2","29°39'30<U+2033>N 95°09'02<U+2033>W<U+FEFF> / <U+FEFF>29.6583°N 95.1505°W<U+FEFF> / 29.6583; -95.1505<U+FEFF> (Pasadena)"
167,"Sunnyvale","California","152,771","140,081","7000905904441001990<U+2660>+9.06%","22.0 sq mi","57.0 km2","6,371/sq mi","2,460/km2","37°23'09<U+2033>N 122°01'35<U+2033>W<U+FEFF> / <U+FEFF>37.3858°N 122.0263°W<U+FEFF> / 37.3858; -122.0263<U+FEFF> (Sunnyvale)"
168,"Macon[26]","Georgia","152,555","91,351","7001669987192258430<U+2660>+67.00%","255.1 sq mi","660.7 km2","614/sq mi","237/km2","32°30'18<U+2033>N 83°23'46<U+2033>W<U+FEFF> / <U+FEFF>32.505°N 83.396°W<U+FEFF> / 32.505; -83.396<U+FEFF> (Macon)"
169,"Pomona","California","152,494","149,058","7000230514296448360<U+2660>+2.31%","23.0 sq mi","59.6 km2","6,494/sq mi","2,507/km2","34°03'31<U+2033>N 117°45'41<U+2033>W<U+FEFF> / <U+FEFF>34.0586°N 117.7613°W<U+FEFF> / 34.0586; -117.7613<U+FEFF> (Pomona)"
